axis,param,value,seed,n_steps,n_cancer,n_genes,shannon,n_subclones,tmb,tmb_frac,driver_enrichment,clone_confinement,fga,mean_ploidy,hypoxia_contrast,deme_occupancy,vaf_1f_rsq,program_within_clone_frac,degenerate,flags
n_snvs_per_allele,n_snvs_per_allele,8.0,2,1600,388,1000,3.716028539517012,18,213.38917525773195,0.21338917525773196,0.9310884903083737,0.46402183207844727,0.20154639175257769,2.071134020618557,,4.311111111111111,0.9319349032818794,,False,
death_rate,death_rate,0.02,0,1600,316,1000,4.977003957037314,14,8.727848101265822,0.008727848101265822,1.6666836543594599,0.651785043605809,0.6658227848101269,1.4639240506329105,,4.450704225352113,0.8875606473158418,,False,
death_rate,death_rate,0.02,1,1600,270,1000,4.996891212111054,12,13.151851851851852,0.013151851851851852,0.3061550720561538,0.5817955485004804,0.36962962962962975,1.7622222222222255,,4.655172413793103,0.9008470695681778,,False,
death_rate,death_rate,0.02,2,1600,284,1000,4.9896697227761955,20,10.67605633802817,0.01067605633802817,1.2597748246796523,0.659087565149888,0.38309859154929604,2.037323943661972,,4.507936507936508,0.7103248233024768,,False,
death_rate,death_rate,0.1,0,1600,268,1000,4.856990931426879,25,4.358208955223881,0.004358208955223881,1.7662715162479048,0.6536497009171189,0.7873134328358221,1.6723880597014935,,4.1875,0.6122882633366704,,False,
death_rate,death_rate,0.1,1,1600,278,1000,5.115745681605152,20,9.906474820143885,0.009906474820143885,0.7644214235584568,0.7294393021987196,0.4956834532374097,1.9323741007194255,,4.212121212121212,0.9744475994604478,,False,
death_rate,death_rate,0.1,2,1600,300,1000,5.0788765783015375,22,8.68,0.00868,0.4938950805063352,0.7191779738740115,0.5359999999999998,1.828666666666667,,4.109589041095891,0.8291941345891222,,False,
death_rate,death_rate,0.2,0,1600,0,1000,0.0,0,0.0,0.0,,,,,,,,,True,extinct
death_rate,death_rate,0.2,1,1600,232,1000,4.821794128961011,17,20.974137931034484,0.020974137931034482,0.8050863156432425,0.6296787197051388,0.3198275862068968,2.1853448275862046,,4.377358490566038,0.4232778282117714,,False,
death_rate,death_rate,0.2,2,1600,0,1000,0.0,0,0.0,0.0,,,,,,,,,True,extinct
death_rate,death_rate,0.28,0,1600,0,1000,0.0,0,0.0,0.0,,,,,,,,,True,extinct
death_rate,death_rate,0.28,1,1600,0,1000,0.0,0,0.0,0.0,,,,,,,,,True,extinct
death_rate,death_rate,0.28,2,1600,0,1000,0.0,0,0.0,0.0,,,,,,,,,True,extinct
death_rate,death_rate,0.3,0,1600,0,1000,0.0,0,0.0,0.0,,,,,,,,,True,extinct
death_rate,death_rate,0.3,1,1600,0,1000,0.0,0,0.0,0.0,,,,,,,,,True,extinct
death_rate,death_rate,0.3,2,1600,0,1000,0.0,0,0.0,0.0,,,,,,,,,True,extinct
death_rate,death_rate,0.35,0,1600,0,1000,0.0,0,0.0,0.0,,,,,,,,,True,extinct
death_rate,death_rate,0.35,1,1600,0,1000,0.0,0,0.0,0.0,,,,,,,,,True,extinct
death_rate,death_rate,0.35,2,1600,0,1000,0.0,0,0.0,0.0,,,,,,,,,True,extinct
initial_cancer_cells,initial_cancer_cells,1.0,0,1600,0,1000,0.0,0,0.0,0.0,,,,,,,,,True,extinct
initial_cancer_cells,initial_cancer_cells,1.0,1,1600,0,1000,0.0,0,0.0,0.0,,,,,,,,,True,extinct
